style,role,occasion,description
bohemian,"a small-framed, delicate woman",a work / office event,"The delicate, petite woman can pull off a bohemian look with ease. Start with a simple, neutral-colored dress
or blouse, paired with a statement necklace or scarf. A maxi skirt or flowy pants can add volume and movement.
For shoes, opt for comfortable flats or block-heel sandals. A boho-style bag or a crossbody bag can complete
the look. Accessories like a headband, a scarf, or a belt can add a touch of bohemian flair. The key is to
keep the look effortless and natural, with loose waves or a braid for hair."
bohemian,"a short, curvy man with a muscular build",a casual date,"The fashion outfit for a curvy man with a muscular build at a casual date can include a bohemian-style shirt
in earthy tones, paired with a pair of slim-fit jeans. The shirt can be tucked in to highlight the man's
muscular build. A leather belt can complete the look, along with a pair of brown leather shoes. For a more
casual look, a leather jacket can be added over the shirt. The jacket can be left open to showcase the man's
muscular build. The outfit can be accessorized with a leather watch and a leather bracelet."
classic,"a small-framed, delicate woman",a play / concert,"The delicate woman in the classic fashion outfit looks stunning. The tailored blazer in a rich, deep red color
complements the feminine floral dress. The dress features a delicate lace collar and intricate details on the
bodice. The woman accessorizes with a small pearl necklace and a classic handbag in a complementary shade. The
ensemble is completed with classic pumps in a matching deep red hue."
classic,"a short, curvy man with a muscular build",a work / office event,"The gentleman stands tall and confident in his classic, tailored attire. His well-fitted, dark-blue suit is
paired with a crisp white shirt, a black tie, and polished black dress shoes. The ensemble is completed with a
leather briefcase in hand, adding a touch of elegance to the overall look. The man's muscular build is
accentuated by the fit of the tailored suit, while his strong facial features are highlighted by a neatly
trimmed beard. The outfit is perfect for a professional setting, such as a work event, and will make the
gentleman stand out in a crowd."
gothic,"a small-framed, delicate woman",a beach,"The delicate woman stands at the beach, her small frame adorned with intricate gothic details. Her dark hair
is styled in loose waves, framing her heart-shaped face. A black velvet dress with intricate lace detailing is
paired with a long black cloak, its edges trimmed with intricate silver embroidery. The cloak is fastened with
a large silver clasp at the neck, adding to the gothic aesthetic. The woman's delicate features are
accentuated by the dark makeup and gothic jewelry, including a silver necklace with a pendant in the shape of
a skull. The ensemble is completed with black ankle boots, adding to the overall gothic vibe."
gothic,"a short, curvy man with a muscular build",a business lunch,"The gentleman dons a black tailored suit with a crisp white shirt and a deep red tie. The suit is adorned with
intricate silver buttons and a black leather belt. The man's muscular build is accentuated by a pair of black
leather dress shoes. The gentleman accessorizes his outfit with a black leather briefcase and a silver cuff
bracelet. The ensemble is completed with a black fedora, a pair of black sunglasses, and a black leather
briefcase."
sporty,"a small-framed, delicate woman",a beach,"The delicate woman stands tall at the beach, wearing a white and red striped top with a pair of black shorts.
The top is tucked in, revealing a pair of white sneakers. The woman accessorizes with a red and white striped
headband, completing the look with a red and white striped scarf. The woman's delicate features are
accentuated by the sporty style, making her the perfect beach companion."
sporty,"a short, curvy man with a muscular build",a play / concert,"The fashion outfit should be comfortable and stylish. The man should wear a pair of black or dark blue jeans,
a white or light gray t-shirt, and a black or dark blue blazer. The blazer should have a slim fit and be
tailored to fit the man's muscular build. The t-shirt should be tucked in and the jeans should be worn with a
belt. The blazer can be left open to show off the man's muscular build. The outfit should also include a pair
of black or dark blue sneakers. The sneakers should be stylish and comfortable, and should match the rest of
the outfit. The man should also accessorize with a watch or a bracelet. The outfit should be completed with a
black or dark blue baseball cap."
casual,"a small-framed, delicate woman",a halloween party,"The delicate woman in the image is wearing a black, long-sleeved dress with a white collar and matching belt.
The dress is paired with a pair of black tights and black ankle boots. She accessorizes with a simple necklace
and a black scarf. Her hair is styled in a loose, shoulder-length cut. The overall look is a perfect mix of
casual and chic, making her the perfect costume choice for a Halloween party."
casual,"a short, curvy man with a muscular build",a gala / exhibition opening,"The fashion-forward gentleman stands tall and confident in his tailored black suit, which is paired with a
crisp white shirt and a classic red tie. The ensemble is completed with a pair of black dress shoes, elevating
the look with a touch of elegance. The man's muscular build is accentuated by the fit of the tailored suit,
while his muscular arms are highlighted by the sleeves that end just above the elbow. The man's accessories
are kept minimal, with a simple silver watch and a classic black leather belt. The overall look is a perfect
mix of casual and formal styles, making the gentleman stand out in a crowd."
